<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>,<OPENINT>,<OPENINT>
جم-ا,20220330,44440.00,46120,44440,45010.00,43930,103505125020.00,995,43930
جم-ا,20220403,46120.00,47260,46120,47040.00,45010,182834286030.00,981,45010
جم-ا,20220404,47200.00,47630,45330,46780.00,47040,42050744360.00,599,47040
جم-ا,20220405,46020.00,47500,46000,46820.00,46780,66141003640.00,478,46780
جم-ا,20220406,46880.00,47580,46500,46790.00,46820,65830487320.00,402,46820
جم-ا,20220409,46000.00,47200,46000,46820.00,46790,80103550430.00,388,46790
جم-ا,20220410,47750.00,47750,46500,46810.00,46820,48977079200.00,297,46820
جم-ا,20220411,47000.00,47470,46800,46850.00,46810,112752436050.00,434,46810
جم-ا,20220412,47720.00,47720,46100,46780.00,46850,33749250900.00,321,46850
جم-ا,20220413,46020.00,47000,45720,46710.00,46780,22380613200.00,258,46780
جم-ا,20220416,47500.00,47500,46500,46770.00,46710,79876571850.00,366,46710
جم-ا,20220417,47100.00,48410,46530,47020.00,46770,66157724430.00,364,46770
جم-ا,20220418,48220.00,49370,47100,48860.00,47020,143381730330.00,620,47020
جم-ا,20220419,48400.00,49790,48000,48920.00,48860,56198220320.00,361,48860
جم-ا,20220420,49450.00,49450,48200,48780.00,48920,30835931350.00,265,48920
جم-ا,20220424,48780.00,48800,47010,48280.00,48780,74394858460.00,432,48780
جم-ا,20220425,47000.00,49000,47000,48110.00,48280,57436795530.00,271,48280
جم-ا,20220426,47530.00,48000,47000,47720.00,48110,47811090520.00,487,48110
جم-ا,20220427,48480.00,48480,47010,47280.00,47720,99728718820.00,459,47720
جم-ا,20220430,48450.00,48450,47290,47570.00,47280,72023843080.00,329,47280
جم-ا,20220501,47500.00,48440,47150,47580.00,47570,136907569600.00,271,47570
جم-ا,20220502,47710.00,48400,47050,47570.00,47580,34749170430.00,219,47580
جم-ا,20220507,47960.00,48050,47400,47630.00,47570,48450395600.00,399,47570
جم-ا,20220508,47940.00,47940,46910,47100.00,47630,192518766980.00,683,47630
جم-ا,20220509,47950.00,48420,47000,47800.00,47100,697043743300.00,3154,47100
